EVENT_ID,MENU_HINT,EVENT_NAME,EVENT_DT,SELECTION_ID,SELECTION_NAME,WIN_LOSE,BSP,PPWAP,MORNINGWAP,PPMAX,PPMIN,IPMAX,IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
101365761,AUS / Mait (AUS) 31st Dec,R10 400m Gr5,31/12/2015 07:32,10675297,7. Sallys Diamond,0,3.7,1,3.2719624,1,1001,1,1001,2288.32,0,0
101365765,AUS / APrk (AUS) 31st Dec,R1 520m Nvce,31/12/2015 08:40,10675326,1. Velocity Mystic,0,1.743748905,1,1.710831679,1,1001,1,1001,4091.48,0,0
122415357,Forecast / Crayfd (FC) 31st Dec,Forecast,31/12/2015 14:18,522739,01-Feb,0,,1,1,1,1001,1,1001,0,0,0
122415436,Forecast / Sund (FC) 31st Dec,Forecast,31/12/2015 11:03,522740,01-Mar,0,,1,1,1,1001,1,1001,0,0,0
122415431,Forecast / Sheff (FC) 31st Dec,Forecast,31/12/2015 13:12,3413630,01-Apr,0,,1,1,1,1001,1,1001,0,0,0
122415458,Forecast / Romfd (FC) 31st Dec,Forecast,31/12/2015 16:47,3413630,01-Apr,0,,1,1,1,1001,1,1001,0,0,0
122415453,Forecast / Romfd (FC) 31st Dec,Forecast,31/12/2015 15:07,3413630,01-Apr,0,,1,1,1,1001,1,1001,0,0,0
122415454,Forecast / Romfd (FC) 31st Dec,Forecast,31/12/2015 15:28,3413632,01-Jun,0,,1,1,1,1001,1,1001,0,0,0
122415426,Forecast / Sheff (FC) 31st Dec,Forecast,31/12/2015 11:57,3413633,02-Jan,0,,1,1,1,1001,1,1001,0,0,0
122415452,Forecast / Romfd (FC) 31st Dec,Forecast,31/12/2015 14:47,3413634,02-Mar,0,,1,1,1,1001,1,1001,0,0,0
122415427,Forecast / Sheff (FC) 31st Dec,Forecast,31/12/2015 12:12,3413635,02-Apr,0,,1,1,1,1001,1,1001,0,0,0
122415424,Forecast / Sheff (FC) 31st Dec,Forecast,31/12/2015 11:28,3413635,02-Apr,0,,1,1,1,1001,1,1001,0,0,0
122415360,Forecast / Crayfd (FC) 31st Dec,Forecast,31/12/2015 15:17,3413635,02-Apr,0,,1,1,1,1001,1,1001,0,0,0
122415427,Forecast / Sheff (FC) 31st Dec,Forecast,31/12/2015 12:12,3413636,02-May,0,,1,1,1,1001,1,1001,0,0,0
122415359,Forecast / Crayfd (FC) 31st Dec,Forecast,31/12/2015 14:57,3413636,02-May,0,,1,1,1,1001,1,1001,0,0,0
122415357,Forecast / Crayfd (FC) 31st Dec,Forecast,31/12/2015 14:18,3413636,02-May,0,,1,1,1,1001,1,1001,0,0,0
122415429,Forecast / Sheff (FC) 31st Dec,Forecast,31/12/2015 12:42,3413637,02-Jun,0,,1,1,1,1001,1,1001,0,0,0
122415360,Forecast / Crayfd (FC) 31st Dec,Forecast,31/12/2015 15:17,3413637,02-Jun,0,,1,1,1,1001,1,1001,0,0,0
122415426,Forecast / Sheff (FC) 31st Dec,Forecast,31/12/2015 11:57,3413639,03-Feb,0,,1,1,1,1001,1,1001,0,0,0
122415444,Forecast / Sund (FC) 31st Dec,Forecast,31/12/2015 13:04,3413640,03-Apr,0,,1,1,1,1001,1,1001,0,0,0
122415440,Forecast / Sund (FC) 31st Dec,Forecast,31/12/2015 12:04,3413640,03-Apr,0,,1,1,1,1001,1,1001,0,0,0
122415456,Forecast / Romfd (FC) 31st Dec,Forecast,31/12/2015 16:08,3413641,03-May,0,,1,1,1,1001,1,1001,0,0,0
122415363,Forecast / Crayfd (FC) 31st Dec,Forecast,31/12/2015 16:18,3413644,04-Feb,1,,1,1,1,1001,1,1001,0,0,0
122415358,Forecast / Crayfd (FC) 31st Dec,Forecast,31/12/2015 14:37,3413644,04-Feb,0,,1,1,1,1001,1,1001,0,0,0
122415455,Forecast / Romfd (FC) 31st Dec,Forecast,31/12/2015 15:48,3413645,04-Mar,0,,1,1,1,1001,1,1001,0,0,0
122415362,Forecast / Crayfd (FC) 31st Dec,Forecast,31/12/2015 15:58,3413648,05-Jan,0,,1,1,1,1001,1,1001,0,0,0
122415437,Forecast / Sund (FC) 31st Dec,Forecast,31/12/2015 11:19,3413648,05-Jan,0,,1,1,1,1001,1,1001,0,0,0
122415451,Forecast / Romfd (FC) 31st Dec,Forecast,31/12/2015 14:27,3413649,05-Feb,1,,1,1,1,1001,1,1001,0,0,0
122415362,Forecast / Crayfd (FC) 31st Dec,Forecast,31/12/2015 15:58,3413654,06-Feb,0,,1,1,1,1001,1,1001,0,0,0
